group,variable,value
friends,161,818
verified,161,0
created_at,161,2009-04-06 02:06:23.000000
statuses,161,54327
id,162,162
name,162,TradeBOC
user_id,162,3306396280
followers,162,31775
friends,162,372
verified,162,0
created_at,162,2015-06-02 05:44:19.000000
statuses,162,38099
id,163,163
name,163,KcuMedia
user_id,163,1436020480725504000
followers,163,99
friends,163,743
verified,163,0
created_at,163,2021-09-09 17:35:51.000000
statuses,163,6521
id,164,164
name,164,Duk3s15
user_id,164,488221470
followers,164,632
friends,164,539
verified,164,0
created_at,164,2012-02-10 06:43:33.000000
statuses,164,10169
id,165,165
name,165,rameshlaus
user_id,165,102268884
followers,165,742180
friends,165,754
verified,165,1
created_at,165,2010-01-06 04:17:52.000000
statuses,165,292301
id,166,166
name,166,10xBek
user_id,166,2754498993
followers,166,190
friends,166,1412
verified,166,0
created_at,166,2014-08-29 13:05:15.000000
statuses,166,2659
id,167,167
name,167,ReginaldAndreas
user_id,167,890952271797866496
followers,167,75
friends,167,49
verified,167,0
created_at,167,2017-07-28 15:09:09.000000
statuses,167,159
id,168,168
name,168,The_Madd_HaTer
user_id,168,28652998
followers,168,147
friends,168,392
verified,168,0
created_at,168,2009-04-03 21:06:30.000000
statuses,168,1395
id,169,169
name,169,pinata1138
user_id,169,1012785276450689024
followers,169,13243
friends,169,14515
verified,169,0
created_at,169,2018-06-29 19:50:01.000000
statuses,169,332665
id,170,170
